var,xgb_importance.Overall,mean_cor,pct_na,boruta
trc_sqm_1000,0.600318362971739,0.16899129702596,0,Confirmed
rent_price_3room_eco,0.598143518467578,0.0284781405515998,0,Confirmed
sub_area,0.594642319322707,,0,Confirmed
prom_part_5000,0.588666726344278,-0.0223207836663853,0.00708048147274015,Confirmed
micex,0.583746589940783,-0.0891282130094781,0,Confirmed
water_km,0.574782574417251,-0.0152509539130223,0,Confirmed
ppi,0.566593910698626,-0.0718277974068075,0,Confirmed
prom_part_1000,0.550573361464376,-0.040991892175989,0,Confirmed
catering_km,0.540200793844612,-0.0472422676162231,0,Confirmed
rent_price_2room_bus,0.536696206632577,-5.75877412925297e-05,0,Confirmed
big_road1_km,0.521690162552767,0.0419303576018223,0,Confirmed
micex_rgbi_tr,0.51985051573685,0.00964428198111708,0,Confirmed
